fund,irr
101000,0.024600111276518843
101008,0.029737090126801036
101009,0.04682626637650755
101010,0.0938399120738993
101011,0.016204717758732556
101012,0.02022182940967654
101013,0.02215339671044858
10105200,0.0013984335231049805
10105201,-0.00029596169223178315
10105202,0.009304732116623082
10105203,-0.030567375130851837
10105230,0.02149131556082451
10112138,0.05137586132594962
10112225,0.009211538980856693
10112226,0.005110258924501565
10113235,-0.09968908959850242
10114830,-0.004401200496938706
10118282,0.012269620666580439
10118296,0.01983270102083612
10118695,0.0007262288415641471
10119384,0.001575325115837245
10120060,0.013108177211463401
10120543,0.0034345065077552306
10120685,0.004020893240220591
10120812,0.011541278640400332
10121711,-0.03341865719374426
10122300,-0.003211974753225766
10122385,-0.020111262406504737
10122397,-0.10422408772488445
10122659,-0.3419851602824684
10122665,0.013258361641713678
10131070,-0.007606063245136019
10131464,-0.0011508608693177047
10131472,0.015858877811193217
10132296,0.007670970841588298
10134646,0.018982269209606883
10134695,-0.003331240746452191
10135001,-0.03221546132264208
10135041,0.015283981514294442
10137899,0.023536461573292033
10138810,0.032709069430686855
10139000,nan
10142113,-3.3470971119387016e-05
10145344,0.015004121317319541
101469,0.012677782585231112
101470,0.016455683702110813
101471,0.028807005099942495
101472,0.013120958566436691
101473,7.480196051568022e-05
101474,0.02114391842280483
10148514,0.0092588683418513
101491,0.07833627175208302
101492,-0.0020597351570655897
101493,0.012786482739475913
10149493,0.006219028469150789
10154,0.012706169384144594
10155,0.005288900218110459
10176664,-0.02186138124895931
10179060,-0.06812719898596464
10271244,0.03020227720664881
10294,0.06241993941887314
10300194,-0.003854164672751348
10309927,-0.032044744439668094
103137,0.006173147278732305
10355,0.006742563478784325
10356,-0.0016885241230254477
10357,0.010347458904341522
10370412,-0.008914261045951277
10375246,0.018015128910530587
10381,0.02580466620704458
10382711,-0.01989007111629093
10384405,0.004482121751306911
10394222,0.0024367916370782172
10394867,-0.528586409786318
10399704,0.03500159640242262
10402290,-0.8948488348192067
10404006,0.02313360884865756
10406381,-0.037424440907584455
10407924,-0.28289382783225003
10407971,0.018643548756475115
104097,0.0045526169263157
104230,-0.00190639405913684
10429398,-0.02038402854075272
104302,0.018975924048641346
10432493,0.03193489872742461
10432962,-0.08209961001875787
10433386,0.029856477672923765
10433615,-0.016799718301396593
10434412,0.013239075003824485
10434840,0.03890831304088804
10435857,0.04935759642007587
10437836,-0.003830019972832499
104393,0.007066392416108513
10449546,0.02156226365267755
10454606,0.010095082696508051
10457786,-0.008828532542714096
10459718,-0.027025335906228576
10459981,-0.031048918899230005
10462350,-0.03575504813077168
10462469,-0.017420780980625494
10463020,-0.9544710963525709
10463070,-0.04719078061937032
104717,-0.038710495427164426
104776,0.01017977496481337
10487248,-0.019143037258967155
10501086,-0.04867160537358117
10510866,-0.022077264292328924
10524024,-0.04893646363287529
10538020,0.004293571888045689
10540304,-0.07078123678282178
10545223,-0.08776369591108801
1055,0.01155744060081454
10558077,nan
1056,0.012547673442008911
1057,-0.0008799020545288139
1058,0.00812802742680896
1059,0.03227444387073719
10599,0.014832873480618458
1060,0.0906403294344873
106031,-0.03261654496304445
106065,0.011282796355921665
106069,0.021978620282484096
10607,-0.07093429363006987
106070,-0.14215488188513192
1061,0.020586941215706478
10725,0.022264712541270493
10726,0.09438926856937835
10727,0.03439256486962727
107614,0.018370986777821008
10763,0.028896062019990065
107633,-0.05379192498028984
10764,0.01331378198330646
10765,0.0002699411852509215
107730,0.02946191143035226
10794,0.027827456323709754
10795,0.02278249790537301
10796,0.025227401882511824
10797,0.010728164753894376
107971,0.016012589679204936
107973,-0.04809238171976982
10798,-0.004731382921840943
10799,0.01325517689974598
10800,0.02308383165208494
10801,0.039967898448258765
10802,0.015607623926021885
10803,0.006080787852213776
10813,0.010333697865890334
108247,0.021113267643126488
108486,nan
10874,0.43685780384063655
10875,0.0076787368302118075
10876,0.2041979305633319
10894,0.016805151660891804
10895,0.04883642486113415
10976,0.007639492016928484
10977,0.009229069775672283
10978,0.01959683675236379
10979,-0.0045142470227832465
10980,0.07382564801456182
10981,0.03401845247890867
10982,0.02195668516406668
10983,0.03980199036496912
10984,0.0363807914231411
10997,0.018272838615072784
10998,0.0023478811267159116
10999,0.028169668041653884
